"","ID","protname","long","lat","ECO_NAME","REALM","BIOME"
"110",1213,"Sarcocystis woodhousei",17.07,-22.56,"Kalahari xeric savanna","AT",13
"111",1273,"Toxoplasma gondii",-98.48,39.01,"Central and Southern mixed grasslands","NA",8
"112",1304,"Trypanosoma cruzi",-62.43,-8.16,"Madeira-Tapajós moist forests","NT",1
"113",1305,"Trypanosoma minasense",-62.43,-8.16,"Madeira-Tapajós moist forests","NT",1
"114",1324,"Trypanosoma minasense",-72,4,"Llanos","NT",7
"115",1325,"Trypanosoma minasense",-80.782127,8.537981,"Isthmian-Pacific moist forests","NT",1
"116",1326,"Trypanosoma minasense",-76,-10,"Peruvian Yungas","NT",1
"117",1330,"Iodamoeba butschlii",-69.2,-12.7,"Southwest Amazon moist forests","NT",1
"118",1331,"Plasmodium brasilianum",-76,-10,"Peruvian Yungas","NT",1
"119",1334,"Trypanosoma brucei",10.41,3.08,"Atlantic Equatorial coastal forests","AT",1
"120",1335,"Trypanosoma congolense",10.41,3.08,"Atlantic Equatorial coastal forests","AT",1
"121",1413,"Trypanosoma cruzi",-72,4,"Llanos","NT",7
"122",1414,"Trypanosoma cruzi",-72,4,"Llanos","NT",7
"123",1415,"Blastocystis hominis",-69.2,-12.7,"Southwest Amazon moist forests","NT",1
"124",1416,"Chilomastix mesnili",-69.2,-12.7,"Southwest Amazon moist forests","NT",1
"125",1418,"Iodamoeba butschlii",-69.2,-12.7,"Southwest Amazon moist forests","NT",1
"126",1427,"Plasmodium brasilianum",-80.782127,8.537981,"Isthmian-Pacific moist forests","NT",1
"127",1429,"Trypanosoma cruzi",-80.782127,8.537981,"Isthmian-Pacific moist forests","NT",1
"128",1430,"Trypanosoma minasense",-80.782127,8.537981,"Isthmian-Pacific moist forests","NT",1
"129",1441,"Plasmodium brasilianum",-80.782127,8.537981,"Isthmian-Pacific moist forests","NT",1
"130",1444,"Trypanosoma cruzi",-72,4,"Llanos","NT",7
"131",1445,"Trypanosoma cruzi",-72,4,"Llanos","NT",7
"132",1446,"Trypanosoma minasense",-72,4,"Llanos","NT",7
"133",1447,"Trypanosoma minasense",-80.782127,8.537981,"Isthmian-Pacific moist forests","NT",1
"134",1451,"Balantidium coli",-60.9,-13.6,"Madeira-Tapajós moist forests","NT",1
"135",1464,"Plasmodium brasilianum",-65.86,-3.42,"Juruá-Purus moist forests","NT",1
"136",1465,"Plasmodium brasilianum",-65.86,-3.42,"Juruá-Purus moist forests","NT",1
"137",1466,"Plasmodium brasilianum",-59.46,-1.91,"Uatuma-Trombetas moist forests","NT",1
"138",1467,"Plasmodium brasilianum",-72,4,"Llanos","NT",7
"139",1468,"Plasmodium brasilianum",-62.43,-8.16,"Madeira-Tapajós moist forests","NT",1
"140",1469,"Plasmodium brasilianum",-62.43,-8.16,"Madeira-Tapajós moist forests","NT",1
"141",1473,"Trypanosoma cruzi",-76,-10,"Peruvian Yungas","NT",1
"142",1474,"Trypanosoma lesourdi",-53.125782,3.933889,"Guianan moist forests","NT",1
"143",1475,"Trypanosoma minasense",-76,-10,"Peruvian Yungas","NT",1
"144",1476,"Trypanosoma minasense",-76,-10,"Peruvian Yungas","NT",1
"145",1513,"Sarcocystis axicuonis",79.62,22.88,"Eastern highlands moist deciduous forests","IM",1
"146",1514,"Theileria cervi",-99.5,30.09,"Edwards Plateau savanna","NA",8
"147",1517,"Trypanosoma evansi",76.5,26.02,"Khathiar-Gir dry deciduous forests","IM",2
"148",1519,"Trypanosoma evansi",100.6,13.6,"Indochina mangroves","IM",14
"149",1524,"Toxoplasma gondii",-99.31,19.3,"Trans-Mexican Volcanic Belt pine-oak forests","NT",3
"150",1525,"Toxoplasma gondii",-99.2,19.42,"Central Mexican matorral","NA",13
"151",1545,"Eimeria auburnensis",-110.55,44.6,"South Central Rockies forests","NA",5
"152",1546,"Eimeria bovis",-110.55,44.6,"South Central Rockies forests","NA",5
"153",1547,"Eimeria bovis",-110.55,44.6,"South Central Rockies forests","NA",5
"154",1548,"Eimeria zuernii",-110.55,44.6,"South Central Rockies forests","NA",5
"155",1631,"Cryptosporidium parvum",20.96,53.15,"Central European mixed forests","PA",4
"156",1645,"Giardia intestinalis",20.96,53.15,"Central European mixed forests","PA",4
"157",1670,"Neospora caninum",19.4,52.12,"Central European mixed forests","PA",4
"158",1719,"Toxoplasma gondii",-51.49,-20.66,"Alto Paraná Atlantic forests","NT",1
"159",1728,"Entamoeba hartmanni",-48.18,-22.66,"Cerrado","NT",7
"160",1732,"Plasmodium brasilianum",-40.75,-20,"Bahia coastal forests","NT",1
"161",1734,"Plasmodium simium",-40.75,-20,"Bahia coastal forests","NT",1
"162",1735,"Plasmodium simium",-40.75,-20,"Bahia coastal forests","NT",1
"163",1741,"Plasmodium brasilianum",-55,-10,"Madeira-Tapajós moist forests","NT",1
"164",1743,"Trypanosoma cruzi",-55,-10,"Madeira-Tapajós moist forests","NT",1
"165",1744,"Trypanosoma cruzi",-55,-10,"Madeira-Tapajós moist forests","NT",1
"166",1745,"Chilomastix mesnili",-69.2,-12.7,"Southwest Amazon moist forests","NT",1
"167",1746,"Plasmodium brasilianum",-62.43,-8.16,"Madeira-Tapajós moist forests","NT",1
"168",1747,"Plasmodium brasilianum",-62.43,-8.16,"Madeira-Tapajós moist forests","NT",1
"169",1749,"Trypanosoma cruzi",-62.43,-8.16,"Madeira-Tapajós moist forests","NT",1
"170",1750,"Trypanosoma devei",-62.43,-8.16,"Madeira-Tapajós moist forests","NT",1
"171",1751,"Trypanosoma minasense",-62.43,-8.16,"Madeira-Tapajós moist forests","NT",1
"172",1752,"Trypanosoma rangeli",-62.43,-8.16,"Madeira-Tapajós moist forests","NT",1
"173",1755,"Trypanosoma minasense",-72,4,"Llanos","NT",7
"174",1760,"Trypanosoma cruzi",-55,-10,"Madeira-Tapajós moist forests","NT",1
"175",1761,"Trypanosoma cruzi",-55,-10,"Madeira-Tapajós moist forests","NT",1
"176",1763,"Trypanosoma minasense",-72,4,"Llanos","NT",7
"177",1764,"Plasmodium brasilianum",-65.86,-3.42,"Juruá-Purus moist forests","NT",1
"178",1767,"Trypanosoma lambrechti",-55,-10,"Madeira-Tapajós moist forests","NT",1
"179",1768,"Trypanosoma lambrechti",-55,-10,"Madeira-Tapajós moist forests","NT",1
"180",1771,"Isospora endocallimici",-76,-10,"Peruvian Yungas","NT",1
"181",1779,"Trypanosoma cruzi",-55,-10,"Madeira-Tapajós moist forests","NT",1
"182",1780,"Trypanosoma cruzi",-62.43,-8.16,"Madeira-Tapajós moist forests","NT",1
"183",1781,"Trypanosoma devei",-62.43,-8.16,"Madeira-Tapajós moist forests","NT",1
"184",1796,"Sarcocystis elegans",-55,-10,"Madeira-Tapajós moist forests","NT",1
"185",1800,"Trypanosoma cruzi",-55,-10,"Madeira-Tapajós moist forests","NT",1
"186",1801,"Trypanosoma cruzi",-55,-10,"Madeira-Tapajós moist forests","NT",1
"187",1802,"Trypanosoma minasense",-55,-10,"Madeira-Tapajós moist forests","NT",1
"188",1803,"Trypanosoma minasense",-55,-10,"Madeira-Tapajós moist forests","NT",1
"189",1810,"Trypanosoma cruzi",-55,-10,"Madeira-Tapajós moist forests","NT",1
"190",1811,"Trypanosoma minasense",-55,-10,"Madeira-Tapajós moist forests","NT",1
"191",1812,"Trypanosoma minasense",94.0833,18.3,NA,NA,NA
"192",1816,"Trypanosoma cruzi",-67.8249,-9.975377,"Southwest Amazon moist forests","NT",1
"193",1817,"Trypanosoma minasense",-76,-10,"Peruvian Yungas","NT",1
"194",1836,"Trypanosoma simiae",38.77,-2.78,"Northern Acacia-Commiphora bushlands and thickets","AT",7
"195",1837,"Trypanosoma simiae",38.77,-2.78,"Northern Acacia-Commiphora bushlands and thickets","AT",7
"196",1875,"Leishmania infantum",53.69,32.43,"Central Persian desert basins","PA",13
"197",1881,"Neospora caninum",35.02,31.47,"Eastern Mediterranean conifer-sclerophyllous-broadleaf forests","PA",12
"198",2000,"Cystoisospora canis",-74.02,41.39,"Northeastern coastal forests","NA",4
"199",2001,"Cystoisospora felis",-97.48,27.77,"Western Gulf coastal grasslands","NA",7
"200",2002,"Cystoisospora ohioensis",-74.02,41.39,"Northeastern coastal forests","NA",4
"201",2095,"Hepatozoon americanum",-97.51,35.58,"Central and Southern mixed grasslands","NA",8
"202",2218,"Neospora caninum",-99.36,31.49,"Central and Southern mixed grasslands","NA",8
"203",2219,"Neospora caninum",-149.49,64.2,"Interior Alaska-Yukon lowland taiga","NA",6
"204",2299,"Sarcocystis fusiformis",-113.62,37.42,"Wasatch and Uinta montane forests","NA",5
"205",2300,"Sarcocystis neurona",-84.6,40.21,"Southern Great Lakes forests","NA",4
"206",2365,"Toxoplasma gondii",-112.56,45.71,"North Central Rockies forests","NA",5
"207",2366,"Toxoplasma gondii",-89.4,32.35,"Southeastern mixed forests","NA",4
"208",2367,"Toxoplasma gondii",-89.86,43.11,"Upper Midwest forest-savanna transition","NA",4
"209",2368,"Toxoplasma gondii",-82.99,31.89,"Southeastern conifer forests","NA",5
"210",2369,"Toxoplasma gondii",-82.99,31.89,"Southeastern conifer forests","NA",5
"211",2370,"Toxoplasma gondii",-82.99,31.89,"Southeastern conifer forests","NA",5
"212",2371,"Toxoplasma gondii",-82.99,31.89,"Southeastern conifer forests","NA",5
"213",2372,"Toxoplasma gondii",-99.36,31.49,"Central and Southern mixed grasslands","NA",8
"214",2373,"Toxoplasma gondii",-85.32,51.25,"Southern Hudson Bay taiga","NA",6
"215",2374,"Toxoplasma gondii",-119.61,37.25,"California interior chaparral and woodlands","NA",12
"216",2375,"Toxoplasma gondii",-119.42,36.78,"California Central Valley grasslands","NA",8
"217",2376,"Toxoplasma gondii",-93.35,37.15,"Central U.S. hardwood forests","NA",4
"218",2560,"Cryptosporidium parvum",22.15,53.45,"Central European mixed forests","PA",4
"219",2611,"Entamoeba hartmanni",-91.42,45.44,"Western Great Lakes forests","NA",4
"220",2638,"Leishmania infantum",16.25,43.64,"Illyrian deciduous forests","PA",12
"221",2639,"Leishmania infantum",53.69,32.43,"Central Persian desert basins","PA",13
"222",2640,"Leishmania infantum",-5.57,42.6,"Iberian sclerophyllous and semi-deciduous forests","PA",12
"223",2741,"Neospora caninum",-110.5,44.55,"South Central Rockies forests","NA",5
"224",2742,"Neospora caninum",-110.5,44.55,"South Central Rockies forests","NA",5
"225",2743,"Neospora caninum",-110.5,44.55,"South Central Rockies forests","NA",5
"226",2744,"Neospora caninum",-5.57,42.6,"Iberian sclerophyllous and semi-deciduous forests","PA",12
"227",2745,"Neospora caninum",35.02,31.47,"Eastern Mediterranean conifer-sclerophyllous-broadleaf forests","PA",12
"228",2746,"Neospora caninum",-149.49,64.2,"Interior Alaska-Yukon lowland taiga","NA",6
"229",2955,"Toxoplasma gondii",16.15,61.3,"Scandinavian and Russian taiga","PA",6
"230",2956,"Toxoplasma gondii",-5.57,42.6,"Iberian sclerophyllous and semi-deciduous forests","PA",12
"231",2957,"Toxoplasma gondii",-149.49,64.2,"Interior Alaska-Yukon lowland taiga","NA",6
"232",2958,"Toxoplasma gondii",-149.49,64.2,"Interior Alaska-Yukon lowland taiga","NA",6
"233",3110,"Sarcocystis arieticanis",7.31,45.5,"Alps conifer and mixed forests","PA",5
"234",3111,"Sarcocystis capracanis",7.31,45.5,"Alps conifer and mixed forests","PA",5
"235",3132,"Babesia ovis",1.53,41.8,"Iberian sclerophyllous and semi-deciduous forests","PA",12
"236",3133,"Babesia ovis",1.53,41.8,"Iberian sclerophyllous and semi-deciduous forests","PA",12
"237",3134,"Babesia ovis",1.53,41.8,"Iberian sclerophyllous and semi-deciduous forests","PA",12
"238",3135,"Babesia ovis",0.25,40.75,"Northeastern Spain and Southern France Mediterranean forests","PA",12
"239",3136,"Babesia ovis",0.25,40.75,"Northeastern Spain and Southern France Mediterranean forests","PA",12
"240",3273,"Babesia divergens",12.77,41.98,"Italian sclerophyllous and semi-deciduous forests","PA",12
"241",3274,"Babesia divergens",14.59,46.03,"Pannonian mixed forests","PA",4
"242",3275,"Babesia divergens",12.57,41.87,"Italian sclerophyllous and semi-deciduous forests","PA",12
"243",3311,"Cryptosporidium parvum",11.37,60,"Scandinavian and Russian taiga","PA",6
"244",3312,"Cryptosporidium parvum",8.08,58.67,"Scandinavian Montane Birch forest and grasslands","PA",11
"245",3313,"Cryptosporidium parvum",11.41,61.45,"Scandinavian and Russian taiga","PA",6
"246",3314,"Cryptosporidium parvum",12.25,64.29,"Scandinavian and Russian taiga","PA",6
"247",3315,"Cryptosporidium parvum",11.31,59.37,"Sarmatic mixed forests","PA",4
"248",3316,"Cryptosporidium parvum",10.39,63.12,"Scandinavian and Russian taiga","PA",6
"249",3317,"Cryptosporidium parvum",7.18,58.48,"Sarmatic mixed forests","PA",4
"250",3338,"Giardia intestinalis",11.37,60,"Scandinavian and Russian taiga","PA",6
"251",3339,"Giardia intestinalis",8.08,58.67,"Scandinavian Montane Birch forest and grasslands","PA",11
"252",3340,"Giardia intestinalis",12.25,64.29,"Scandinavian and Russian taiga","PA",6
"253",3341,"Giardia intestinalis",11.31,59.37,"Sarmatic mixed forests","PA",4
"254",3342,"Giardia intestinalis",10.39,63.12,"Scandinavian and Russian taiga","PA",6
"255",3343,"Giardia intestinalis",7.18,58.48,"Sarmatic mixed forests","PA",4
"256",3344,"Giardia intestinalis",10.13,59.32,"Scandinavian and Russian taiga","PA",6
"257",3404,"Neospora caninum",-3.75,40.46,"Iberian sclerophyllous and semi-deciduous forests","PA",12
"258",3405,"Neospora caninum",15.47,49.82,"Central European mixed forests","PA",4
"259",3406,"Neospora caninum",11.12,46.07,"Alps conifer and mixed forests","PA",5
"260",3407,"Neospora caninum",9.99,46.01,"Alps conifer and mixed forests","PA",5
"261",3516,"Toxoplasma gondii",15.47,49.82,"Central European mixed forests","PA",4
"262",3517,"Toxoplasma gondii",9.99,46.01,"Alps conifer and mixed forests","PA",5
"263",3518,"Toxoplasma gondii",-6.29,36.53,"Southwest Iberian Mediterranean sclerophyllous and mixed forests","PA",12
"264",3519,"Toxoplasma gondii",-5,43,"Cantabrian mixed forests","PA",4
"265",3520,"Toxoplasma gondii",-3.65,40.23,"Iberian sclerophyllous and semi-deciduous forests","PA",12
"266",3521,"Toxoplasma gondii",-9.03,42.65,NA,NA,NA
"267",3522,"Toxoplasma gondii",-0.63,42.76,"Pyrenees conifer and mixed forests","PA",4
"268",3523,"Toxoplasma gondii",-4.11,40.94,"Iberian sclerophyllous and semi-deciduous forests","PA",12
"269",3524,"Toxoplasma gondii",-3.75,40.46,"Iberian sclerophyllous and semi-deciduous forests","PA",12
"270",3525,"Toxoplasma gondii",-4.24,36.76,"Southwest Iberian Mediterranean sclerophyllous and mixed forests","PA",12
"271",3526,"Toxoplasma gondii",-6.29,36.53,"Southwest Iberian Mediterranean sclerophyllous and mixed forests","PA",12
"272",3527,"Toxoplasma gondii",-3.95,39.46,"Iberian sclerophyllous and semi-deciduous forests","PA",12
"273",3528,"Toxoplasma gondii",15.33,49.74,"Western European broadleaf forests","PA",4
"274",3529,"Toxoplasma gondii",14.05,64.45,"Scandinavian and Russian taiga","PA",6
"275",3530,"Toxoplasma gondii",14.05,64.45,"Scandinavian and Russian taiga","PA",6
"276",3531,"Toxoplasma gondii",14.57,67.1,"Scandinavian Montane Birch forest and grasslands","PA",11
"277",3532,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"278",3533,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"279",3534,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"280",3535,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"281",3536,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"282",3537,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"283",3538,"Toxoplasma gondii",8.47,60.47,"Scandinavian Montane Birch forest and grasslands","PA",11
"284",3606,"Eimeria crispus",140.36,38.24,"Nihonkai montane deciduous forests","PA",4
"285",3607,"Eimeria kamoshika",140.36,38.24,"Nihonkai montane deciduous forests","PA",4
"286",3608,"Eimeria serowi",140.36,38.24,"Nihonkai montane deciduous forests","PA",4
"287",3634,"Toxoplasma gondii",136.72,35.39,"Taiheiyo evergreen forests","PA",4
"288",3635,"Toxoplasma gondii",136.72,35.39,"Taiheiyo evergreen forests","PA",4
"289",3636,"Toxoplasma gondii",136.72,35.39,"Taiheiyo evergreen forests","PA",4
"290",3642,"Eimeria kamoshika",136.77,35.43,"Taiheiyo evergreen forests","PA",4
"291",3655,"Chilomastix mesnili",-69.2,-12.7,"Southwest Amazon moist forests","NT",1
"292",3657,"Endolimax nana",-69.2,-12.7,"Southwest Amazon moist forests","NT",1
"293",3658,"Isospora cebi",-112.14,30.74,"Sonoran desert","NA",13
"294",3659,"Isospora cebi",-72,4,"Llanos","NT",7
"295",3660,"Plasmodium brasilianum",-72,4,"Llanos","NT",7
"296",3663,"Trypanosoma cruzi",-62.92558,-0.9739872,"Japurá-Solimoes-Negro moist forests","NT",1
"297",3664,"Trypanosoma cruzi",-72,4,"Llanos","NT",7
"298",3665,"Trypanosoma lambrechti",-74.3,4.6,"Magdalena Valley montane forests","NT",1
"299",3666,"Trypanosoma lambrechti",-72,4,"Llanos","NT",7
"300",3667,"Trypanosoma minasense",-72,4,"Llanos","NT",7
"301",3668,"Trypanosoma minasense",-72,4,"Llanos","NT",7
"302",3670,"Trypanosoma rangeli",-53.125782,3.933889,"Guianan moist forests","NT",1
"303",3674,"Blastocystis hominis",-69.2,-12.7,"Southwest Amazon moist forests","NT",1
