"","protname"
"101","Cyclospora cercopitheci"
"102","Entopolypoides macaci"
"103","Cyclospora colobi"
"104","Babesia cynicti"
"105","Babesia bicornis"
"106","Cycloposthium bipalmatum"
"107","Cycloposthium corrugatum"
"108","Cycloposthium dentiferum"
"109","Cycloposthium edentatum"
"110","Cycloposthium scutigerum"
"111","Diplodinium anacanthum"
"112","Diplodinium dentatum"
"113","Diploplastron affine"
"114","Elyplastron bubali"
"115","Entodinium bursa"
"116","Epidinium caudatum"
"117","Ostracodinium gracile"
"118","Ostracodinium mammosum"
"119","Ostracodinium trivesiculatum"
"120","Polyplastron multivesiculatum"
"121","Spirodinium equi"
"122","Tetratoxum parvum"
"123","Tetratoxum unifasciculatum"
"124","Theileria bicornis"
"125","Triadinium galea"
"126","Cystoisospora belli"
"127","Babesia equi"
"128","Hepatocystis foleyi"
"129","Plasmodium girardi"
"130","Cytauxzoon manul"
"131","Eimeria felina"
"132","Trypanosoma irangiense"
"133","Trypanosoma perodictici"
"134","Sarcocystis camelopardalis"
"135","Sarcocystis giraffae"
"136","Sarcocystis klaseriensis"
"137","Gorillophilus thoracatus"
"138","Plasmodium adleri"
"139","Plasmodium blacklocki"
"140","Plasmodium ovale"
"141","Plasmodium praefalciparum"
"142","Plasmodium reichenowi"
"143","Plasmodium rodhani"
"144","Plasmodium schwetzi"
"145","Prototapirella gorillae"
"146","Eimeria vulpis"
"147","Leishmania donovani"
"148","Charonina hippopotami"
"149","Cucurvella vivax"
"150","Paraisotricha minuta"
"151","Paraplagiopyla kiboko"
"152","Parentodinium africanum"
"153","Parentodinium ostrea"
"154","Babesia bigemina"
"155","Sarcocystis hydrurgae"
"156","Plasmodium eylesi"
"157","Plasmodium jefferyi"
"158","Plasmodium youngi"
"159","Plasmodium hylobati"
"160","Isospora africana"
"161","Isospora hoogstraali"
"162","Isospora zorillae"
"163","Eimeria macusaniensis"
"164","Isospora lutrae"
"165","Babesia rossi"
"166","Cytauxzoon felis"
"167","Plasmodium inui"
"168","Hepatocystis taiwanensis"
"169","Plasmodium cynomolgi"
"170","Trypanosoma conorhini"
"171","Hepatocystis semnopitheci"
"172","Plasmodium coatneyi"
"173","Plasmodium fieldi"
"174","Plasmodium knowlesi"
"175","Trypanosoma cyclops"
"176","Entamoeba dispar"
"177","Cyclospora cayetanensis"
"178","Plasmodium fragile"
"179","Plasmodium shortii"
"180","Babesia cellii"
"181","Plasmodium simiovale"
"182","Pseudolimax butschlii"
"183","Hepatozoon JM-1"
"184","Hepatozoon JM-2"
"185","Hepatozoon JM-3"
"186","Hepatozoon JM-4"
"187","Hepatozoon JM-5"
"188","Hepatozoon JM-6"
"189","Hepatozoon JM-7"
"190","Hepatozoon JM-8"
"191","Isospora martessii"
"192","Babesia missirolii"
"193","Eimeria melis"
"194","Isospora melis"
"195","Sarcocystis sebeki"
"196","Trypanosoma pestanai"
"197","Sarcocystis mephitisi"
"198","Isospora altaica"
"199","Eimeria furonis"
"200","Eimeria ictidea"
"201","Hepatozoon procyonis"
"202","Eimeria pachylepyron"
"203","Sarcocystis americana"
"204","Sarcocystis hemioni"
"205","Sarcocystis hemionilatrantis"
"206","Sarcocystis youngi"
"207","Babesia bovis"
"208","Babesia odocoilei"
"209","Eimeria madisonensis"
"210","Eimeria mccordocki"
"211","Eimeria odocoilei"
"212","Sarcocystis odocoileocanis"
"213","Plasmodium gaboni"
"214","Plasmodium rodhaini"
"215","Troglocorys cava"
"216","Troglodytella abrassarti"
"217","Sarcocystis felis"
"218","Cyclospora papionis"
"219","Entamoeba polecki"
"220","Hepatocystis simiae"
"221","Babesia microti"
"222","Isospora papionis"
"223","Sarcocystis dubeyella"
"224","Sarcocystis phacochoeri"
"225","Plasmodium pitheci"
"226","Sarcocystis danzani"
"227","Sarcocystis mongolica"
"228","Babesia lotori"
"229","Eimeria nuttalli"
"230","Eimeria procyonis"
"231","Sarcocystis kirkpatricki"
"232","Babesia propitheci"
"233","Besnoitia tarandi"
"234","Eimeria hreindyria"
"235","Eimeria mayeri"
"236","Eimeria rangiferis"
"237","Sarcocystis hardangeri"
"238","Sarcocystis rangi"
"239","Sarcocystis tarandivulpes"
"240","Isospora arctopitheci"
"241","Leishmania braziliensis"
"242","Isospora saimirae"
"243","Trypanosoma sanmartini"
"244","Eimeria mephitidis"
"245","Isospora sengeri"
"246","Isospora spilogales"
"247","Theileria buffeli"
"248","Theileria mutans"
"249","Theileria parva"
"250","Trypanosoma theileri"
"251","Sarcocystis hominis"
"252","Sarcocystis ursusi"
"253","Sarcocystis arctosi"
"254","Isospora vulpis"
"255","Theileria annae"
