"","parname","meanGDP_per_cap"
"64","Elyplastron bubali",0.00157706739408163
"65","Endolimax nana",0.00507441296267638
"66","Entamoeba chattoni",0.00455905315626382
"67","Entamoeba coli",0.00286887682518372
"68","Entamoeba dispar",0.0176410425364909
"69","Entamoeba hartmanni",0.00495539434449246
"70","Entamoeba histolytica",0.00396878681550017
"71","Entamoeba polecki",0.00132160633661637
"72","Entodinium bicornutum",0.00157706739408163
"73","Entodinium bursa",0.00157706739408163
"74","Entodinium caudatum",0.00157706739408163
"75","Entodinium dubardi",0.00157706739408163
"76","Entodinium furca",0.00157706739408163
"77","Entodinium minimum",0.00157706739408163
"78","Entodinium rectangulatum",0.00157706739408163
"79","Entopolypoides macaci",0.00236666675382352
"80","Epidinium bulbiferum",0.00157706739408163
"81","Epidinium caudatum",0.00157706739408163
"82","Epidinium gigas",0.00157706739408163
"83","Eudiplodinium maggi",0.00157706739408163
"84","Giardia intestinalis",0.0301598874774144
"85","Hepatocystis cercopitheci",0.0013046125147651
"86","Hepatocystis foleyi",0.000974650563806058
"87","Hepatocystis kochi",0.00141982757216336
"88","Hepatocystis semnopitheci",0.00351520647657616
"89","Hepatocystis simiae",0.00278852110081458
"90","Hepatocystis taiwanensis",NA
"91","Hepatozoon americanum",0.0399192098104084
"92","Hepatozoon canis",0.0139511892257017
"93","Hepatozoon procyonis",0.0353922031098488
"94","Iodamoeba butschlii",0.00326414423779541
"95","Isospora arctopitheci",0.0115549175503218
"96","Isospora cebi",0.011358477471392
"97","Isospora endocallimici",0.00836972652654691
"98","Isospora lutrae",0.0346206028564786
"99","Isospora melis",0.0317642221579776
"100","Isospora papionis",0.0100096857470372
"101","Isospora saimirae",0.010028214403868
"102","Isospora sengeri",0.0480741974628392
"103","Isospora spilogales",0.0480741974628392
"104","Isospora vulpis",0.0346206028564786
"105","Leishmania braziliensis",0.0115549175503218
"106","Leishmania chagasi",0.010028214403868
"107","Leishmania donovani",0.00339471414333186
"108","Leishmania infantum",0.0288319228928043
"109","Leishmania shawi",0.010028214403868
"110","Metadinium medium",0.00157706739408163
"111","Neospora caninum",0.0353388835671355
"112","Ostracodinium gracile",0.00157706739408163
"113","Ostracodinium mammosum",0.00157706739408163
"114","Ostracodinium trivesiculatum",0.00157706739408163
"115","Paraisotricha minuta",0.00147520724554361
"116","Paraplagiopyla kiboko",0.00147520724554361
"117","Parentodinium africanum",0.00147520724554361
"118","Parentodinium ostrea",0.00147520724554361
"119","Pentatrichomonas hominis",0.00382525059129403
"120","Plasmodium brasilianum",0.0119489466899832
"121","Plasmodium coatneyi",0.00857977630736999
"122","Plasmodium cynomolgi",0.00823822951524301
"123","Plasmodium eylesi",0.0149441089159945
"124","Plasmodium falciparum",0.00383429743737721
"125","Plasmodium fieldi",0.0149441089159945
"126","Plasmodium fragile",0.00346201266888229
"127","Plasmodium gaboni",0.00142920934905845
"128","Plasmodium georgesi",0.000572727788899821
"129","Plasmodium girardi",0.000974650563806058
"130","Plasmodium gonderi",0.00280361269270026
"131","Plasmodium hylobati",0.00603404326392019
"132","Plasmodium inui",0.00927420384666456
"133","Plasmodium jefferyi",0.0149441089159945
"134","Plasmodium knowlesi",0.0239454869535506
"135","Plasmodium petersi",0.000606760100030424
"136","Plasmodium pitheci",0.0112315815609635
"137","Plasmodium reichenowi",0.0012249150352846
"138","Plasmodium rodhaini",0.00104260874321759
"139","Plasmodium schwetzi",0.000300469299854997
"140","Plasmodium shortii",0.00356777750027462
"141","Plasmodium simiovale",0.00430813132002091
"142","Plasmodium simium",0.010028214403868
"143","Plasmodium vivax",0.0140503322536193
"144","Plasmodium youngi",0.0149441089159945
"145","Polyplastron multivesiculatum",0.00157706739408163
"146","Prototapirella gorillae",0.00104733578029362
"147","Retortamonas intestinalis",0.00415378823710888
"148","Sarcocystis alces",0.0591064954060952
"149","Sarcocystis alceslatrans",0.0388207938983746
"150","Sarcocystis americana",0.0480741974628392
"151","Sarcocystis arctosi",0.0480741974628392
"152","Sarcocystis arieticanis",0.0313627868955231
"153","Sarcocystis axicuonis",0.00282742368052833
"154","Sarcocystis camelopardalis",0.0100096857470372
"155","Sarcocystis capracanis",0.0313627868955231
"156","Sarcocystis capreolicanis",0.0354428346552409
"157","Sarcocystis cornagliai",0.0357476981211339
"158","Sarcocystis danzani",0.0031159347376742
"159","Sarcocystis dubeyella",0.0100096857470372
"160","Sarcocystis elegans",0.010028214403868
"161","Sarcocystis felis",0.00157706739408163
"162","Sarcocystis fusiformis",0.0480741974628392
"163","Sarcocystis gazellae",0.00628359649351604
"164","Sarcocystis giraffae",0.0100096857470372
"165","Sarcocystis grueneri",0.0354428346552409
"166","Sarcocystis hardangeri",0.0414419584341396
"167","Sarcocystis hemioni",0.0480741974628392
"168","Sarcocystis hemionilatrantis",0.0480741974628392
"169","Sarcocystis hominis",0.0100096857470372
"170","Sarcocystis kirkpatricki",0.0480741974628392
"171","Sarcocystis klaseriensis",0.0100096857470372
"172","Sarcocystis melampi",0.0100096857470372
"173","Sarcocystis mephitisi",0.0480741974628392
"174","Sarcocystis mongolica",0.0031159347376742
"175","Sarcocystis neurona",0.0480741974628392
"176","Sarcocystis odocoileocanis",0.0480741974628392
"177","Sarcocystis ovalis",0.0489636446522349
"178","Sarcocystis phacochoeri",0.0100096857470372
"179","Sarcocystis rangi",0.0414419584341396
"180","Sarcocystis scandinavica",0.0591064954060952
"181","Sarcocystis sebeki",0.0354428346552409
"182","Sarcocystis silva",0.0354428346552409
"183","Sarcocystis tarandivulpes",0.0502742269201174
"184","Sarcocystis ursusi",0.0480741974628392
"185","Sarcocystis woodhousei",0.00628359649351604
"186","Sarcocystis youngi",0.0480741974628392
"187","Spirodinium equi",0.00157706739408163
"188","Tetratoxum parvum",0.00157706739408163
"189","Tetratoxum unifasciculatum",0.00157706739408163
"190","Theileria annae",0.0367206983774266
"191","Theileria bicornis",0.0100096857470372
"192","Theileria buffeli",0.0100096857470372
"193","Theileria cervi",0.0476886389809865
"194","Theileria equi",0.00579337657055943
"195","Theileria mutans",0.0100096857470372
"196","Theileria parva",0.00438794017840016
"197","Toxoplasma gondii",0.0416227208409888
"198","Triadinium galea",0.00157706739408163
"199","Trichomonas intestinalis",0.00121657515372932
"200","Troglocorys cava",0.00127685055326862
"201","Troglodytella abrassarti",0.00109782741987762
"202","Trypanosoma advieri",0.0332200023378889
"203","Trypanosoma brucei",0.00192049971367216
"204","Trypanosoma cervi",0.0289382472043261
"205","Trypanosoma congolense",0.00191803869665619
"206","Trypanosoma conorhini",0.020117263289136
"207","Trypanosoma cruzi",0.0186409254741513
"208","Trypanosoma cyclops",0.0149441089159945
"209","Trypanosoma devei",0.013341326965871
"210","Trypanosoma diasi",0.010028214403868
"211","Trypanosoma evansi",0.00723500937559952
"212","Trypanosoma hippicum",NA
"213","Trypanosoma irangiense",0.00189360298720547
"214","Trypanosoma lambrechti",0.00968683318458393
"215","Trypanosoma lesourdi",0.0332200023378889
"216","Trypanosoma minasense",0.0110784855331325
"217","Trypanosoma mycetae",0.0144812055546103
"218","Trypanosoma perodictici",0.00127618659006267
"219","Trypanosoma pestanai",0.0317642221579776
"220","Trypanosoma primatum",0.00277899256986701
"221","Trypanosoma rangeli",0.0122805866303358
"222","Trypanosoma sanmartini",0.00866268952673168
"223","Trypanosoma simiae",0.00163537144767301
"224","Trypanosoma theileri",0.00157706739408163
"225","Trypanosoma venezuelense",NA
"226","Trypanosoma vivax",0.002118007294666
