ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As of 2.8.2017.,SearchStringWOS,WOShits .As of 2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF Citation,PGF more citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao note,GMPDtraits,GMPDtax,ParasiteCorrectedName updated,Match,disease,disease note
Aelurostrongylus falciformis,NA,0,,-1,1,-1,3,,VR,42765,,,,,Aelurostrongylus falciformis,58,Aelurostrongylus falciformis,1,H: Badger,"Davidson et al., 2006",,VR,42765,,,,1,0,1,No,,,,Aelurostrongylus falciformis,Aelurostrongylus falciformis,,
Aelurostrongylus pridhami,NA,0,,-1,2,-1,3,,VR,42765,,,,,Aelurostrongylus pridhami,45,Aelurostrongylus pridhami,3,H: badger,"Davidson et al., 2006",,VR,42765,,,,1,0,1,No,,,,Aelurostrongylus pridhami,Aelurostrongylus pridhami,,
Aerobacter aerogenes,NA,0,,0,1,0,1,,VR,42765,,,,,Aerobacter aerogenes,22300,Aerobacter aerogenes,177,aerobic bacteria,"Wilhelm et al., 1949",NEED,VR,42765,,,,0,0,0,Yes,"Hormaeche and Edwards (1960a 1960b) proposed a new genus Enterobacter as a substitute for ?Aerobacter.? (Grimont, Francine, and Patrick AD Grimont. ""The genus enterobacter."" The prokaryotes. Springer, New York, NY, 2006. 197-214.)",Enterobacter aerogenes,,Enterobacter aerogenes,Enterobacter aerogenes,,
Aerococcus viridans,NA,0,,-1,2,0,1,,VR,42765,,,,,Aerococcus viridans,4560,Aerococcus viridans,244,lobsters,"Nathavitharana et al., 1983",,VR,42765,,,,0,0,1,No,,,,Aerococcus viridans,Aerococcus viridans,,
Aeromonas hydrophila,NA,0,,0,2,0,1,,VR,42765,,,,,Aeromonas hydrophila,57500,Aeromonas hydrophila,5313,,"Hazen et al., 1978",,VR,42765,,,,0,0,1,No,,,,Aeromonas hydrophila,Aeromonas hydrophila,,
African swine fevervirus,NA,0,,-1,1,-1,1,,VR,42762,,,,,African swine fevervirus,13600,African swine fevervirus,0,swine only,"Yanez et al., 1995",,VR,42762,,,,0,0,0,Yes,"Nuttall, Patricia A. ""Molecular characterization of tick-virus interactions."" Front. Biosci 14 (2009): 2466-2483.",Asfivirus African swine fever virus,,Asfivirus African swine fever virus,Asfivirus African swine fever virus,,
Africanostrongylus buceros,NA,0,,,,-1,3,,VR,42762,,,,,Africanostrongylus buceros,0,Africanostrongylus buceros,0,,"Hoberg et al., 2008",,VR,42762,,,,1,0,1,No,Misspelled in our sheets,,Africanastrongylus buceros,Africanostrongylus buceros,Africanostrongylus buceros,,
Agriostomum cursoni,NA,0,,-1,3,-1,3,,VR,42762,,,,,Agriostomum cursoni,11,Agriostomum cursoni,0,,"Reinecke et al., 1988",,VR,42762,,,,1,0,1,No,,,,Agriostomum cursoni,Agriostomum cursoni,,
Agriostomum equidentatum,NA,0,,,,-1,3,,VR,42762,,,,,Agriostomum equidentatum,26,Agriostomum equidentatum,0,,Horak 1981,,VR,42762,,,,1,0,1,No,,,,Agriostomum equidentatum,Agriostomum equidentatum,,
Agriostomum gorgonis,NA,0,,,,-1,3,,VR,42762,,,,,Agriostomum gorgonis,36,Agriostomum gorgonis,1,hook worm; wildebeast,"Horak et al., 1983",,VR,42762,,,,1,0,1,No,,,,Agriostomum gorgonis,Agriostomum gorgonis,,
Agrobacterium radioba (radiobacter),NA,0,,0,1,0,1,,VR,42762,,,,,Agrobacterium radioba (radiobacter),7,Agrobacterium radioba (radiobacter),0,plant based,"Edmond et al., 1993",NEED,VR,42762,,,,0,0,0,Yes,"Agrobacterium tumefaciens (syn. radiobacter) (Young, J. M., et al. ""A revision of Rhizobium Frank 1889, with an emended description of the genus, and the inclusion of all species of Agrobacterium Conn 1942 and Allorhizobium undicola de Lajudie et al. 1998 as new combinations: Rhizobium radiobacter, R. rhizogenes, R. rubi, R. undicola and R. vitis."" International Journal of Systematic and Evolutionary Microbiology 51.1 (2001): 89-103.)",Agrobacterium tumefaciens,,Agrobacterium radioba (radiobacter),,,
Agrobacterium tumefaciens,NA,0,,-1,1,-1,1,,VR,42762,,,,,Agrobacterium tumefaciens,62400,Agrobacterium tumefaciens,10373,plant based,"Valvekens et al., 1988",,VR,42762,,,,0,0,1,No,,,,Agrobacterium tumefaciens,Agrobacterium tumefaciens,,
Ajellomyces crescens,NA,0,,0,1,0,1,,VR,42762,,,,,Ajellomyces crescens,215,Ajellomyces crescens,9,small mammals (rarely in humans),"Roilides et al., 1999",,VR,42762,,,,0,0,0,Yes,"Sigler, L. ""Ajellomyces crescens sp. nov., taxonomy of Emmonsia spp., and relatedness with Blastomyces dermatitidis (teleomorph Ajellomyces dermatitidis)."" Journal of medical and veterinary mycology 34.5 (1996): 303-314.",Emmonsia crescens,,Emmonsia crescens,Emmonsia crescens,,
Alaria alata,NA,0,,0,1,1,1,,VR,42762,,,,,Alaria alata,2510,Alaria alata,77,Host: Human Cat Dog Pig Snail Vehicle:crustaceans,"Riehn et al., 2010",,VR,42762,,,,0,0,1,No,,,,Alaria alata,Alaria alata,,
Alaria americana,NA,0,,2,1,1,1,,VR,42762,,,,,Alaria americana,965,Alaria americana,20,Digestive trematoda,"Fernandes et al., 1976",,VR,42762,,,,0,0,1,No,,,,Alaria americana,Alaria americana,,
Alaria arisaemoides,NA,0,,2,2,-1,2,,VR,42762,,,,,Alaria arisaemoides,394,Alaria arisaemoides,4,Dt; dogs,Augustine and Uribe 1927,NEED,VR,42762,,,,0,0,1,No,,,,Alaria arisaemoides,Alaria arisaemoides,,
Alaria canis,NA,0,,2,1,-1,1,,VR,42762,,,,,Alaria canis,1040,Alaria canis,50,Dt; dogs,Rausch and Williamson 1959,,VR,42762,,,,0,0,1,No,,,,Alaria canis,Alaria canis,,
Alaria marcianae,NA,0,,2,2,-1,2,,VR,42762,,,,,Alaria marcianae,286,Alaria marcianae,31,Dt;,"Pence et al., 1988",,VR,42762,,,,0,0,1,No,,,,Alaria marcianae,Alaria marcianae,,
Alaria mustelae,NA,0,,2,2,-1,1,,VR,42762,,,,,Alaria mustelae,1590,Alaria mustelae,10,Dt;,"Locke et al., 2011",,VR,42762,,,,0,0,1,No,,,,Alaria mustelae,Alaria mustelae,,
Alaria taxideae,NA,0,,2,2,-1,3,,VR,42762,,,,,Alaria taxideae,51,Alaria taxideae,1,Dt;,"Poole et al., 1983",,VR,42762,,,,0,0,1,No,,,,Alaria taxideae,Alaria taxideae,,
Alcelaphine herpesvirus 1,NA,0,,-1,1,-1,1,,VR,42762,,,,,Alcelaphine herpesvirus 1,1240,Alcelaphine herpesvirus 1,132,Bfever,"Ensser et al., 1997",,VR,42762,,,,0,0,0,Yes,"Davison, Andrew J., et al. ""The order herpesvirales."" Archives of virology 154.1 (2009): 171-177.",Macavirus Alcelaphine gammaherpesvirus 1,,Macavirus Alcelaphine gammaherpesvirus 1,Macavirus Alcelaphine gammaherpesvirus 1,,
Alouattalges corbeti,NA,0,,,,-1,3,,VR,42762,,,mightbeanecto/insect,,Alouattalges corbeti,2,Alouattalges corbeti,0,,NEED,,VR,42762,,,,0,0,1,No,,,,Alouattalges corbeti,Alouattalges corbeti,,
Alphacoronavirus1,NA,0,,3,1,3,1,,VR,42762,,,,,Alphacoronavirus1,208,Alphacoronavirus1,0,Bat/Human,"Vlasova et al., 2011",Gideon,VR,42762,,,,0,0,0,Yes,,Alphacoronavirus Alphacoronavirus 1,,,Alphacoronavirus Alphacoronavirus 1,,
Alphacoronavirus2,NA,0,,3,1,3,1,,VR,42762,,,,,Alphacoronavirus2,14,Alphacoronavirus2,0,Bat/Human,"Vlasova et al., 2011",Gideon,VR,42762,,,,0,0,0,Yes,"Can't find it in GMPD files. (Vlasova, Anastasia N., et al. ""Molecular characterization of a new species in the genus Alphacoronavirus associated with mink epizootic catarrhal gastroenteritis."" Journal of General Virology 92.6 (2011): 1369-1379.)",,,Alphacoronavirus2,,,
Alphavirus Chikungunya,NA,0,,0,2,3,1,,VR,42762,,,,,Alphavirus Chikungunya,7180,Alphavirus Chikungunya,452,Vector: Mosquito (protozoan),Powers and Logue 2007,,VR,42762,,,,0,0,0,Yes,,Alphavirus Chikungunya virus,,Alphavirus Chikungunya virus,Alphavirus Chikungunya virus,,
Alphavirus Easternequineencephalitisvirus,NA,0,,0,2,0,1,,VR,42762,,,,,Alphavirus Easternequineencephalitisvirus,2480,Alphavirus Easternequineencephalitisvirus,0,Vector:Mosquito,Borucki 2010,,VR,42762,,,,0,0,0,Yes,,Alphavirus Eastern equine encephalitis virus,,Alphavirus Eastern equine encephalitis virus,Alphavirus Eastern equine encephalitis virus,,
Alphavirus Mayaro,NA,0,,0,2,0,1,,VR,42762,,,,,Alphavirus Mayaro,1630,Alphavirus Mayaro,49,Vector: Mosquito,"Tesh et al., 1999",,VR,42762,,,,0,0,0,Yes,,Alphavirus Mayaro virus,,Alphavirus Mayaro virus,Alphavirus Mayaro virus,,
Alphavirus Semliki forest virus,NA,0,,0,1,0,1,,VR,42762,,,,,Alphavirus Semliki forest virus,10300,Alphavirus Semliki forest virus,607,Vector: Mosquito,"Mathiot et al., 1990",,VR,42762,,,,0,0,1,No,Can't find it in GMPD files. Semliki Forest virus (SFV) and Sindbis virus (SIN) are two closely related (MU Ehrengruber - ?1999).,,,Alphavirus Semliki forest virus,,,
Alphavirus Sindbis,NA,0,,0,2,0,1,,VR,42762,,,,,Alphavirus Sindbis,13700,Alphavirus Sindbis,822,Vector: Mosquitos,"Kurkela et al., 2008",,VR,42762,,,,0,0,0,Yes,,Alphavirus Sindbis virus,,Alphavirus Sindbis virus,Alphavirus Sindbis virus,,
Alphavirus Southernelephantsealvirus,NA,0,,-1,1,-1,1,,VR,42762,,,,,Alphavirus Southernelephantsealvirus,86,Alphavirus Southernelephantsealvirus,0,Vector: Sea louse,"Linn et al., 2001",,VR,42762,,,,0,0,0,Yes,,Alphavirus Southern elephant seal virus,,Alphavirus Southern elephant seal virus,Alphavirus Southern elephant seal virus,,
Alphavirus Tonate,NA,0,,0,2,0,1,,VR,42762,,,,,Alphavirus Tonate,386,Alphavirus Tonate,1,Vector: Moaquito,"Hommel et al., 2000",,VR,42762,,,,0,0,0,Yes,Can't find it in GMPD files.,,,Alphavirus Tonate,,,
Alphavirus Venezuelan equine encephalitis virus strain Mena II,NA,0,,0,2,0,1,,VR,42762,,,,,Alphavirus Venezuelan equine encephalitis virus strain Mena II,191,Alphavirus Venezuelan equine encephalitis virus strain Mena II,0,Vector: Mosquito,NEED,,VR,42762,,,,0,0,0,Yes,Strains.,Alphavirus Venezuelan equine encephalitis virus,,Alphavirus Venezuelan equine encephalitis virus,Alphavirus Venezuelan equine encephalitis virus,,
Alphavirus Venezuelan equine encephalitis virus strain TC-83,NA,3,,0,2,0,1,,VR,42762,,,,,Alphavirus Venezuelan equine encephalitis virus strain TC-83,868,Alphavirus Venezuelan equine encephalitis virus strain TC-83,16,Vector: Mosquito,"Kinney et al., 1993",,VR,42762,,,,0,0,0,Yes,Strains.,Alphavirus Venezuelan equine encephalitis virus,,Alphavirus Venezuelan equine encephalitis virus,Alphavirus Venezuelan equine encephalitis virus,,
Alphavirus Western equine encephalitis virus,NA,0,,0,2,0,1,,VR,42762,,,,,Alphavirus Western equine encephalitis virus,9180,Alphavirus Western equine encephalitis virus,122,Vector: Mosquito,"Hahn et al., 1988",,VR,42762,,,,0,0,1,No,,Alphavirus Western equine encephalitis virus,,Alphavirus Western equine encephalitis virus,Alphavirus Western equine encephalitis virus,,
Amdovirus Aleutian-mink-disease-virus,NA,0,,1,2,-1,2,,VR,42762,,,,,Amdovirus Aleutian-mink-disease-virus,253,Amdovirus Aleutian-mink-disease-virus,5,rare zoonosis,"Qiu et al., 2006",,VR,42762,,,,0,0,0,Yes,Can't find it in GMPD trait files.,,Aleutian mink disease virus (AMDV),Amdovirus Aleutian-mink-disease-virus,,,
Anaplasma centrale,NA,0,,,,-1,1,,VR,42761,,,,,Anaplasma centrale,2390,Anaplasma centrale,160,,"Kawahara et al., 2006",,VR,42761,,,,0,0,0,Yes,"Anaplasma marginale subspecies centrale (Khumalo, Zamantungwa TH, et al. ""Characterization of Anaplasma marginale subspecies centrale strains using msp1aS genotyping reveals a wildlife reservoir."" Journal of clinical microbiology (2016): JCM-01029.)",Anaplasma marginale,,Anaplasma centrale,Anaplasma marginale,,
Anaplasma marginale,NA,0,,-1,2,-1,1,,VR,42761,,,,,Anaplasma marginale,10100,Anaplasma marginale,1258,bovine only,"Kieser et al., 1990",,VR,42761,,,,0,0,1,No,,,,Anaplasma marginale,Anaplasma marginale,,
Anaplasma ovis,NA,0,,1,1,1,1,,VR,42761,,,,,Anaplasma ovis,3350,Anaplasma ovis,175,rare: blood/secretions,"Chochlakis et al., 2010",Gideon,VR,42761,,,,0,0,1,No,,,,Anaplasma ovis,Anaplasma ovis,,
Anaplasma phagocytophilum,NA,0,,1,2,0,1,,VR,42761,,,,,Anaplasma phagocytophilum,9970,Anaplasma phagocytophilum,1832,Bacterium,"Dumler et al., 2005",,VR,42761,,,,0,0,1,No,,,,Anaplasma phagocytophilum,Anaplasma phagocytophilum,,
Anaplasma platys,NA,0,,-1,2,-1,1,,VR,42761,,,,,Anaplasma platys,2210,Anaplasma platys,242,canine only,"Yabsley et al., 2008",,VR,42761,,,,0,0,1,No,,,,Anaplasma platys,Anaplasma platys,,
Anatrichosoma cynamolgi,NA,0,,,,-1,3,,VR,42761,,,,,Anatrichosoma cynamolgi,54,Anatrichosoma cynamolgi,1,monkey,Conrad and Wong 1973,,VR,42761,,,,1,0,1,No,,,,Anatrichosoma cynamolgi,Anatrichosoma cynamolgi,,
Anatrichosoma ixyos,NA,0,,,,-1,3,,VR,42761,,,,,Anatrichosoma ixyos,0,Anatrichosoma ixyos,0,,NEED,,VR,42761,,,,1,0,1,No,,,,Anatrichosoma ixyos,Anatrichosoma ixyos,,
Ancylostoma braziliense,NA,0,,3,1,1,1,,VR,42761,,,,,Ancylostoma braziliense,2430,Ancylostoma braziliense,71,"""hook worm"" ","Malgor et al., 1996",,VR,42761,,,,1,0,1,No,,,,Ancylostoma braziliense,Ancylostoma braziliense,,
Ancylostoma caninum,NA,0,,3,1,3,1,,VR,42761,,,,,Ancylostoma caninum,10900,Ancylostoma caninum,881,reservoir: canine,"Mulvenna et al., 2009",Gideon,VR,42761,,,,1,0,1,No,,,,Ancylostoma caninum,Ancylostoma caninum,,
Ancylostoma duodenale,NA,0,,3,1,3,1,,VR,42761,,,"See_notes_in_Nematode_word_doc.__""0""_",,Ancylostoma duodenale,8310,Ancylostoma duodenale,217,reservoir: human,"Albonico et al., 1998",,VR,42761,,,,1,0,1,No,,,,Ancylostoma duodenale,Ancylostoma duodenale,,
Ancylostoma kusimaense,NA,0,,,,-1,3,,VR,42761,,,,,Ancylostoma kusimaense,36,Ancylostoma kusimaense,3,,"Sato et al., 1999",,VR,42761,,,,1,0,1,No,,,,Ancylostoma kusimaense,Ancylostoma kusimaense,,
Ancylostoma martinezi,NA,0,,,,-1,3,,VR,42761,,,,,Ancylostoma martinezi,60,Ancylostoma martinezi,1,,"Casanova et al., 2000",NEED,VR,42761,,,,1,0,1,No,,,,Ancylostoma martinezi,Ancylostoma martinezi,,
Ancylostoma paraduodenale,NA,0,,,,-1,3,,VR,42761,,,,,Ancylostoma paraduodenale,28,Ancylostoma paraduodenale,0,,"Bjork et al., 2000",,VR,42761,,,,1,0,1,No,,,,Ancylostoma paraduodenale,Ancylostoma paraduodenale,,
Ancylostoma pluridentatum,NA,0,,,,-1,3,,VR,42761,,,,,Ancylostoma pluridentatum,58,Ancylostoma pluridentatum,4,panther,"Dunbar et al., 1994",,VR,42761,,,,1,0,1,No,,,,Ancylostoma pluridentatum,Ancylostoma pluridentatum,,
Ancylostoma quadridentata,NA,0,,,,-1,3,,VR,42761,,,,,Ancylostoma quadridentata,7,Ancylostoma quadridentata,0,,"Stuart et al., 1998",,VR,42761,,,,1,0,1,No,,,,Ancylostoma quadridentata,Ancylostoma quadridentata,,
Ancylostoma tubaeforme,NA,0,,,,-1,1,,VR,42761,,,,,Ancylostoma tubaeforme,7450,Ancylostoma tubaeforme,74,,Barutzki and Schaper 2003,,VR,42761,,,,1,0,1,No,,,,Ancylostoma tubaeforme,Ancylostoma tubaeforme,,
Anellovirus Torque teno virus,NA,0,,0,1,0,1,,VR,42761,,,,,Anellovirus Torque teno virus,662,Anellovirus Torque teno virus,56,Viral/Infected Secretions,Hino and Miyata 2007,NEED,VR,42761,,,,0,0,0,Yes,Can't find it in GMPD files.,,,Anellovirus Torque teno virus,,,
Angiocaulus gubernaculatus,NA,0,,,,-1,3,,VR,42761,,,in_island_foxes,,Angiocaulus gubernaculatus,41,Angiocaulus gubernaculatus,2,,"Faulkner et al., 2001",,VR,42761,,,,1,0,1,No,,,,Angiocaulus gubernaculatus,Angiocaulus gubernaculatus,,
Angiostrongylus costaricensis,NA,0,,1,1,0,1,,VR,42761,,,,,Angiostrongylus costaricensis,1740,Angiostrongylus costaricensis,148,Cotton Rat and Slug: first reported in Venezuela,Morera and Cespedes 1971,,VR,42761,,,,1,0,1,No,,,,Angiostrongylus costaricensis,Angiostrongylus costaricensis,,
Angiostrongylus vasorum,NA,0,,-1,1,-1,1,,VR,42761,,,,,Angiostrongylus vasorum,1850,Angiostrongylus vasorum,328,Canine Heartworm,"Taubert et al., 2009",,VR,42761,,,,1,0,1,No,,,,Angiostrongylus vasorum,Angiostrongylus vasorum,,
Anisakis pegreffii,NA,0,,1,2,1,2,,VR,42761,,,,,Anisakis pegreffii,765,Anisakis pegreffii,135,marine mammals and fish: from consuming undercooked fish,"Romero et al., 2014",,VR,42761,,,,1,0,1,No,,,,Anisakis pegreffii,Anisakis pegreffii,,
Anisakis physeteris,NA,0,,1,1,1,2,,VR,42761,,,,,Anisakis physeteris,690,Anisakis physeteris,68,Peru: dolphin and seal lion (5 species of fish consumed by humans),"Romero et al., 2014",,VR,42761,,,,1,0,1,No,,,,Anisakis physeteris,Anisakis physeteris,,
Anisakis simplex,NA,0,,1,2,1,1,,VR,42761,,,,,Anisakis simplex,7610,Anisakis simplex,16,nematode,Audicana and Kennedy 2008,Gideon,VR,42761,,,,1,0,1,No,,,,Anisakis simplex,Anisakis simplex,,
Anophryocephalus arcticensis,NA,0,,,,-1,3,,VR,42761,,,,,Anophryocephalus arcticensis,13,Anophryocephalus arcticensis,2,,Hoberg and Measures 1995,,VR,42761,,,,0,0,1,No,,,,Anophryocephalus arcticensis,Anophryocephalus arcticensis,,
Anophryocephalus inuitorum,NA,0,,,,-1,3,,VR,42761,,,,,Anophryocephalus inuitorum,13,Anophryocephalus inuitorum,2,,Hoberg and Measures 1995,,VR,42761,,,,0,0,1,No,,,,Anophryocephalus inuitorum,Anophryocephalus inuitorum,,
Anophryocephalus ochotensis,NA,0,,-1,1,-1,3,,VR,42761,,,,,Anophryocephalus ochotensis,22,Anophryocephalus ochotensis,2,helminth (seals),Shults 1986,,VR,42761,,,,0,0,1,No,,,,Anophryocephalus ochotensis,Anophryocephalus ochotensis,,
Anoplocephala gigantea,NA,0,,,,-1,3,,VR,42761,,,,,Anoplocephala gigantea,48,Anoplocephala gigantea,2,,"Knapp et al., 1997",,VR,42761,,,,0,0,1,No,,,,Anoplocephala gigantea,Anoplocephala gigantea,,
Anoplocephala gorillae,NA,0,,-1,2,-1,3,,VR,42761,,,,,Anoplocephala gorillae,72,Anoplocephala gorillae,3,gorilla tape worm,"Kalema-Zikusoka et al., 2005",,VR,42761,,,,0,0,1,No,,,,Anoplocephala gorillae,Anoplocephala gorillae,,
Anoplocephala magna,NA,0,,-1,2,-1,2,,VR,42761,,,,,Anoplocephala magna,492,Anoplocephala magna,24,equine,"Meana et al., 2005",,VR,42761,,,,0,0,1,No,,,,Anoplocephala magna,Anoplocephala magna,,
Anoplocephala perfoliata,NA,0,,-1,2,-1,1,,VR,42761,,,,,Anoplocephala perfoliata,1410,Anoplocephala perfoliata,194,equine tape worm,Proudman and Trees 1996,NEED,VR,42761,,,,0,0,1,No,,,,Anoplocephala perfoliata,Anoplocephala perfoliata,,
Aonchotheca putorii,NA,0,,,,-1,2,,VR,42760,,,,,Aonchotheca putorii,121,Aonchotheca putorii,18,,"Torres et al., 2001",NEED,VR,42760,,,,1,0,1,No,Aonchotheca putorii (syn. Capillaria putorii),Capillaria putorii,,Capillaria putorii,Aonchotheca putorii,,
Aototrema dorsogenitalis,NA,0,,,,-1,3,,VR,42760,,,,,Aototrema dorsogenitalis,2,Aototrema dorsogenitalis,1,,"Bean-Knudsen et al., 1987",,VR,42760,,,,0,0,1,No,,,Aototrema dorsogenitalis,Aototrema dorsogenitalis,Aototrema dorsogenitalis,,
Aphthovirus Foot-and-mouth disease virus A,NA,1,,-1,2,-1,1,,VR,42760,,,,,Aphthovirus Foot-and-mouth disease virus A,6060,Aphthovirus Foot-and-mouth disease virus A,95,RNA Livestock pathogen,"Knowles et al., 2007",,VR,42760,,,,0,0,0,Yes,Aphthovirus Foot-and-mouth disease virus subtype (they have the same zooscores),,Aphthovirus Foot-and-mouth disease virus serotype A,Aphthovirus Foot-and-mouth disease virus A,Aphthovirus Foot-and-mouth disease virus,,
Aphthovirus Foot-and-mouth disease virus C,NA,1,,-1,1,-1,1,,VR,42760,,,,,Aphthovirus Foot-and-mouth disease virus C,5200,Aphthovirus Foot-and-mouth disease virus C,51,RNA,"Nagendrakumar et al., 2005",,VR,42760,,,,0,0,0,Yes,Aphthovirus Foot-and-mouth disease virus subtype,,,Aphthovirus Foot-and-mouth disease virus C,Aphthovirus Foot-and-mouth disease virus,,
Aphthovirus Foot-and-mouth disease virus O,NA,1,,-1,1,-1,1,,VR,42760,,,,,Aphthovirus Foot-and-mouth disease virus O,6170,Aphthovirus Foot-and-mouth disease virus O,14,RNA,"Knowles et al., 2005",,VR,42760,,,,0,0,0,Yes,Aphthovirus Foot-and-mouth disease virus subtype,,Aphthovirus Foot-and-mouth disease virus serotype O,Aphthovirus Foot-and-mouth disease virus O,Aphthovirus Foot-and-mouth disease virus,,
