ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As.of.2.8.2017.,SearchStringWOS,WOShits..As.of.2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF.Citation,PGF.more.citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao.note,GMPDtraits,GMPDtax,ParasiteCorrectedName.updated,close,nonclose,vector,intermediate,ParasiteReportedName,HasBinomialName,NameObservations,FLAG,NameID,NameCitation,ParType,ParPhylum,ParClass,ParOrder,ParFamily,StrainorSubsps
Babesia pitheci,NA,0,,,,-1,3,,VR,42740,,,,,Babesia pitheci      ,46,Babesia pitheci      ,0,,Hegner 1928,,VR,42740,,,,0,0,1,No,,,,Babesia pitheci,0,0,1,0,Babesia pitheci,yes,valid in papers,,Kalter 1989,"Kalter, S. S. (1989). Infectious diseases of nonhuman primates in a zoo setting. Zoo Biology, 8(S1), 61-76.",Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
Babesia propitheci,NA,0,,,,-1,3,,VR,42740,,,,,Babesia propitheci      ,11,Babesia propitheci      ,0,,"Bronsdon et al., 1999",,VR,42740,,,,0,0,1,No,,,,Babesia propitheci,0,0,1,0,Babesia propitheci,yes,valid in papers,,Uilenberg et al. 1972,"Uilenberg, G., Blancou, J., & Andrianjafy, G. (1972). A new hematozoon of a Madagascan lemur, Babesia propitheci sp. n.(Babesiidae, Sporozoa).Annales de parasitologie humaine et compar??e, 47(1), 1.",Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
Babesia rossi,NA,0,,-1,2,-1,1,,VR,42740,,,,,Babesia rossi      ,2650,Babesia rossi      ,89,Sub-Saharan Africa (wild dogs),"Matjila et al., 2008",,VR,42740,,,,0,0,1,No,,,,Babesia rossi,0,0,1,0,Babesia rossi,yes,valid name in NCBI,,NCBI 167444,,Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
Balantidium aragaoi,NA,0,,,,-1,3,,VR,42740,,,,,Balantidium aragaoi      ,27,Balantidium aragaoi      ,0,,"Stuart et al., 1998",,VR,42740,,,,0,0,1,No,,,,Balantidium aragaoi,1,1,0,0,Balantidium aragaoi,yes,valid in papers,,Stuart et al. 1998,"Stuart, M., Pendergast, V., Rumfelt, S., Pierberg, S., Greenspan, L., Glander, K., & Clarke, M. (1998). Parasites of wild howlers (Alouatta spp.).International Journal of Primatology, 19(3), 493-512.",Protozoa,Ciliophora,Litostomatea,Vestibuliferida,Balantidiidae,
Balantidium coli,NA,0,,1,2,1,1,,VR,42740,,,,,Balantidium coli      ,7710,Balantidium coli      ,169,"Reservoir: non-human primate, rodent and pig",Schuster and Ramirez-Avila 2008,,VR,42740,,,,0,0,1,No,,,,Balantidium coli,1,1,0,0,Balantidium coli,yes,valid name in NCBI,,NCBI 71585,,Protozoa,Ciliophora,Litostomatea,Vestibuliferida,Balantidiidae,
Besnoitia tarandi,NA,0,,-1,1,-1,2,,VR,42739,,,,,Besnoitia tarandi      ,204,Besnoitia tarandi      ,16,Reindeer ,"Dubey et al., 2004",,VR,42739,,,,0,0,1,No,,,,Besnoitia tarandi,0,1,1,1,Besnoitia tarandi,yes,valid name in NCBI,,NCBI 279368,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Sarcocystidae,
Blastocystis hominis,NA,0,,0,1,0,1,,VR,42739,,,,,Blastocystis hominis      ,9780,Blastocystis hominis      ,957,Human Only,"Sheehan et al., 1986",,VR,42739,,,,0,0,1,No,,,,Blastocystis hominis,1,1,0,0,Blastocystis hominis,yes,valid name in NCBI,,NCBI 12968,,Protozoa,Heterokontophyta,Blastocystea,Blastocystida,Blastocystidae,
Chilomastix mesnili,NA,0,,1,2,0,1,,VR,42733,,,,,Chilomastix mesnili      ,2150,Chilomastix mesnili      ,42,ingestion of cysts/fecal contamination/water,"Gillespie et al., 2005",,VR,42733,,,,NA,0,1,No,,,,Chilomastix mesnili,1,1,0,0,Chilomastix mesnili,yes,valid name in NCBI,,NCBI 472572,,Protozoa,Metamonada,Eopharyngia,Retortamonadida,Chilomastigidae,
Cryptosporidium parvum,NA,0,,0,3,0,1,,VR,42725,,,,,Cryptosporidium parvum      ,41400,Cryptosporidium parvum      ,5648,water/feces/oysters,"DuPont et al., 1995",,VR,42725,,,,NA,0,1,No,,,,Cryptosporidium parvum,1,1,0,0,Cryptosporidium parvum,yes,valid name in NCBI,,NCBI 5807,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Cryptosporidiidae,
Cyclospora cercopitheci,NA,0,,0,3,-1,3,,VR,42725,,,,,Cyclospora cercopitheci      ,131,Cyclospora cercopitheci      ,2,water/vegetables,"Eberhard et al., 1999",,VR,42725,,,,NA,0,1,No,,,,Cyclospora cercopitheci,1,1,0,0,Cyclospora cercopitheci,yes,valid name in NCBI,,NCBI 88457,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Cyclospora colobi,NA,0,,0,3,-1,2,,VR,42725,,,,,Cyclospora colobi      ,913,Cyclospora colobi      ,3,water/vegetables,"Eberhard et al., 1999",,VR,42725,,,,NA,0,1,No,,,,Cyclospora colobi,1,1,0,0,Cyclospora colobi,yes,valid name in NCBI,,NCBI 88458,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Cyclospora papionis,NA,0,,0,3,-1,2,,VR,42724,,,,,Cyclospora papionis      ,184,Cyclospora papionis      ,7,water/vegetables,"Li et al., 2011",,VR,42724,,,,NA,0,1,No,,,,Cyclospora papionis,1,1,0,0,Cyclospora papionis,yes,valid name in NCBI,,NCBI 88459,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Isospora canis,NA,0,,,,-1,1,,VR,42705,,,,,Isospora canis      ,2930,Isospora canis      ,89,,"Mitchell et al., 2007",,VR,42705,,,,NA,0,0,Yes,"Mitchell, Sheila M., et al. ""Cystoisospora canis Nemes?ri, 1959 (syn. Isospora canis), infections in dogs: clinical signs, pathogenesis, and reproducible clinical disease in beagle dogs fed oocysts."" Journal of Parasitology 93.2 (2007): 345-352.",Cystoisospora canis,Cystoisospora canis,Cystoisospora canis,0,1,0,0,Isospora canis,yes,invalid genus,,1662860,http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Cystoisospora felis,NA,0,,0,3,-1,1,,VR,42724,,,,,Cystoisospora felis      ,2480,Cystoisospora felis      ,29,Protozoa:fecal oral sexual,"Bybee et al., 2011",,VR,42724,,,,NA,0,1,No,,,,Cystoisospora felis,0,1,0,0,Isospora felis,yes,valid name in NCBI,,NCBI 482539,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Sarcocystidae,
Cystoisospora ohioensis,NA,0,,0,3,-1,1,,VR,42724,,,,,Cystoisospora ohioensis      ,496,Cystoisospora ohioensis      ,18,Protozoa ,"Mandarino-Pereira et al., 2010",,VR,42724,,,,NA,0,1,No,,,,Cystoisospora ohioensis,0,1,0,0,Isospora ohioensis,yes,valid name in NCBI,,NCBI 279926,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Sarcocystidae,
Cytauxzoon felis,NA,0,,-1,2,-1,2,,VR,42724,,,,,Cytauxzoon felis      ,798,Cytauxzoon felis      ,102,felid only,"Blouin et al., 1984",,VR,42724,,,,NA,0,1,No,,,,Cytauxzoon felis,0,0,1,1,Cytauxzoon felis,yes,valid name in NCBI,,NCBI 482539,,Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Theileriidae,
Cytauxzoon manul,NA,0,,-1,1,-1,2,,VR,42724,,,,,Cytauxzoon manul      ,286,Cytauxzoon manul      ,11,felid only,"Joyner et al., 2007",,VR,42724,,,,NA,0,1,No,,,,Cytauxzoon manul,0,0,1,1,Cytauxzoon manul,yes,valid name in NCBI,,NCBI 258482,,Protozoa,Apicomplexa,Aconoidasida,Piroplasmida,Theileriidae,
Dientamoeba fragilis,NA,0,,0,1,0,1,,VR,42723,,,,,Dientamoeba fragilis      ,3620,Dientamoeba fragilis      ,231,"human, ape, pig","Girginkardesler et al., 2003",,VR,42723,,,,NA,0,1,No,,,,Dientamoeba fragilis,1,1,0,0,Dientamoeba fragilis,yes,valid name in NCBI,,NCBI 43352,,Protozoa,Metamonada,Trichomonada,Trichomonadida,Monocercomonadidae,
Eimeria auburnensis,NA,0,,-1,2,-1,2,,VR,42718,,,,,Eimeria auburnensis      ,751,Eimeria auburnensis      ,37,bovine,NEED,,VR,42718,,,,NA,0,1,No,,,,Eimeria auburnensis,0,1,0,0,Eimeria auburnensis,yes,valid name in NCBI,,NCBI 310757,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria bovis,NA,0,,-1,2,-1,1,,VR,42718,,,,,Eimeria bovis      ,5690,Eimeria bovis      ,243,bovine,"Mundt et al., 2005",,VR,42718,,,,NA,0,1,No,,,,Eimeria bovis,0,1,0,0,Eimeria bovis,yes,valid name in NCBI,,NCBI 5803,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria felina,NA,0,,-1,3,-1,2,,VR,42718,,,,,Eimeria felina      ,122,Eimeria felina      ,0,cat/dog infection ,NEED,,VR,42718,,,,NA,0,1,No,,,,Eimeria felina,0,1,0,0,Eimeria felina,yes,only few papers likely in GMPD,,NA,"Nieschulz, O. (1924). On a Case of Eimeria Infection in a Cat (Eimeria felina n. sp.).ÿTijdschrift voor Diergeneeskunde,ÿ51(4), 129-131.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria furonis,NA,0,,-1,3,-1,3,,VR,42718,,,,,Eimeria furonis      ,52,Eimeria furonis      ,5,possible ferret only,"Jolley et al., 1994",,VR,42718,,,,NA,0,1,No,,,,Eimeria furonis,0,1,0,0,Eimeria furonis,yes,valid name in NCBI,,NCBI 352384,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria ictidea,NA,0,,,,-1,3,,VR,42718,,,,,Eimeria ictidea      ,40,Eimeria ictidea      ,1,,"Jolley et al., 1994",,VR,42718,,,,NA,0,1,No,,,,Eimeria ictidea,0,1,0,0,Eimeria Ictidea,yes,valid name in NCBI,,NCBI 1793137,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria macusaniensis,NA,0,,-1,2,-1,2,,VR,42718,,,,,Eimeria macusaniensis      ,227,Eimeria macusaniensis      ,34,alpaca,"Palacios et al., 2006",,VR,42718,,,,NA,0,1,No,,,,Eimeria macusaniensis,0,1,0,0,Eimeria macusaniensis,yes,valid name in NCBI,,NCBI 745318,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria madisonensis,NA,0,,,,-1,3,,VR,42718,,,,,Eimeria madisonensis      ,15,Eimeria madisonensis      ,0,,Forrester 1988,,VR,42718,,,,NA,0,1,No,,,,Eimeria madisonensis,0,1,0,0,Eimeria madisonensis,yes,Few papers other than description at discovery in deer,,DAVID R. ANDERSON and WILLIAM M. SAMUEL ,"DAVID R. ANDERSON and WILLIAM M. SAMUEL (1969) Eimeria (PROTOZOA: EIMERIIDAE) FROM WHITE-TAILED DEER Odocoileus virginianus IN PENNSYLVANIA, TEXAS, AND WISCONSIN, WITH DESCRIPTIONS OF TWO NEW SPECIES. Bulletin of the Wildlife Disease Association: July 1969, Vol. 5, No. 3, pp. 351-356.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria mccordocki,NA,0,,-1,3,-1,3,,VR,42718,,,,,Eimeria mccordocki      ,37,Eimeria mccordocki      ,2,white tailed deer,Conlogue and Foreyt 1984,,VR,42718,,,,NA,0,1,No,,,,Eimeria mccordocki,0,1,0,0,Eimeria mccordocki,yes,Few descriptions in deer,,"Samuel, W. M., & Trainer, D. O. ","Samuel, W. M., & Trainer, D. O. (1971). Some Ecologic Factors Influencing Eimeria mccordocki Honess, 1941 in White-Tailed Deer Odocoileus virginianus (Zimmermann).ÿThe Journal of protozoology,ÿ18(2), 306-308.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria melis,NA,0,,-1,3,-1,2,,VR,42717,,,,,Eimeria melis      ,89,Eimeria melis      ,2,,"Lizundia et al., 2011",,VR,42717,,,,NA,0,1,No,,,,Eimeria melis,0,1,0,0,Eimeria melis,yes,valid in papers,,"Cottrell, E. R. A.","Cottrell, E. R. A. (2011). Variation of parasite burden within the European badger (Meles meles): the effect of season, habitat, body condition, gender & age on the prevalence of Eimeria melis and Capillaria.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria mephitidis,NA,0,,,,-1,3,,VR,42717,,,,,Eimeria mephitidis      ,13,Eimeria mephitidis      ,0,,"Lesmeister et al., 2008",,VR,42717,,,,NA,0,1,No,,,,Eimeria mephitidis,0,1,0,0,Eimeria mephitidis,yes,valid name in NCBI,,NCBI 1793136,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria nuttalli,NA,0,,-1,3,-1,3,,VR,42717,,,,,Eimeria nuttalli      ,95,Eimeria nuttalli      ,1,possible raccoon only,"Dubey et al., 2000",,VR,42717,,,,NA,0,1,No,,,,Eimeria nuttalli,0,1,0,0,Eimeria Nuttalli,yes,Only papers in GMPD,,"Foster, G. W., McCleery, R. A., & Forrester, D. J. ","Foster, G. W., McCleery, R. A., & Forrester, D. J. (2004). Intestinal coccidia of raccoons (Procyon lotor) from Key Largo, Florida, USA.ÿComparative parasitology,ÿ71(2), 175-177.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria odocoilei,NA,0,,,,-1,3,,VR,42717,,,,,Eimeria odocoilei      ,94,Eimeria odocoilei      ,5,,"Lindsay et al., 1999",,VR,42717,,,,NA,0,1,No,,,,Eimeria odocoilei,0,1,0,0,Eimeria odocoilei,yes,Few papers since description; in GMPD,,"LEVINE, N. D., IVENS, V., & SENGER, C. M. ","LEVINE, N. D., IVENS, V., & SENGER, C. M. (1967). Eimeria odocoilei n. sp. from the mule deer Odocoileus h. hemionus in Washington.ÿThe Journal of protozoology,ÿ14(3), 455-456.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria pachylepyron,NA,0,,,,-1,3,,VR,42717,,,,,Eimeria pachylepyron      ,5,Eimeria pachylepyron      ,2,,"Banlunara et al., 2013",,VR,42717,,,,NA,0,1,No,,,,Eimeria pachylepyron,0,1,0,0,Eimeria pachylepyron,yes,valid in paper,,"Banlunara, W., Kesdangsakonwut, S., Kongmekee, P., & Sommanustweechai, A. ","Banlunara, W., Kesdangsakonwut, S., Kongmekee, P., & Sommanustweechai, A. (2013). Coccidiosis in a Greater Slow loris (Nycticebus coucang).ÿThe Thai Journal of Veterinary Medicine,ÿ43(2), 269.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria vulpis,NA,0,,,,-1,2,,VR,42717,,,,,Eimeria vulpis      ,811,Eimeria vulpis      ,6,,"Alagaili et al., 2011",,VR,42717,,,,NA,0,1,No,,,,Eimeria vulpis,0,1,0,0,Eimeria vulpis,yes,Nothing since discovery,,"Yakimoff, W. L., & Matikaschwili, I. L. ","Yakimoff, W. L., & Matikaschwili, I. L. (1933). Coccidiosis in raccoons: Eimeria nuttalli n. sp., parasite of Procyon lotor.ÿParasitology,ÿ24(04), 574-575.",Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Eimeria zuernii,NA,0,,-1,2,-1,2,,VR,42717,,,,,Eimeria zuernii      ,1330,Eimeria zuernii      ,92,bovine,Stockdale and Nillo 1976,,VR,42717,,,,NA,0,1,No,,,,Eimeria zuernii,0,1,0,0,Eimeria zuernii,yes,valid name in NCBI,,NCBI 310761,,Protozoa,Apicomplexa,Coccidia,Eucoccidiorida,Eimeriidae,
Endolimax nana,NA,0,,0,1,0,1,,VR,42717,,,,,Endolimax nana      ,5330,Endolimax nana      ,121,protozoan:diarrhea,"Waikagul et al., 2002",,VR,42717,,,,NA,0,1,No,,,,Endolimax nana,1,1,0,0,Endolimax nana,yes,valid name in NCBI,,NCBI 110788,,Protozoa,Amoebozoa,Archamoebae,Mastigamoebida,Mastigamoebidae,
Entamoeba chattoni,NA,0,,1,1,1,1,,VR,42717,,,,,Entamoeba chattoni      ,334,Entamoeba chattoni      ,13,contact with monkeys/possible pig contact,"Verweij et al., 2001",,VR,42717,,,,NA,0,1,No,,,,Entamoeba chattoni,1,1,0,0,Entamoeba chattoni,yes,valid name in NCBI,,NCBI 110765,,Protozoa,Sarcomastigophora,Lobosea,Amoebida,Endamoebidae,
Entamoeba coli,NA,0,,3,2,3,1,,VR,42717,,,,,Entamoeba coli      ,32200,Entamoeba coli      ,804,feces/water ,Legesse and Erko 2004,Gideon,VR,42717,,,,NA,0,1,No,,,,Entamoeba coli,1,1,0,0,Entamoemba coli,yes,valid name in NCBI,,NCBI 110766,,Protozoa,Sarcomastigophora,Lobosea,Amoebida,Endamoebidae,
Entamoeba dispar,NA,0,,1,2,0,1,,VR,42716,,,,,Entamoeba dispar      ,9450,Entamoeba dispar      ,791,feces/water/fly,"Haque et al., 1997",Gideon,VR,42716,,,,NA,0,1,No,,,,Entamoeba dispar,1,1,0,0,Entamoeba dispar,yes,valid name in NCBI,,NCBI 46681,,Protozoa,Sarcomastigophora,Lobosea,Amoebida,Endamoebidae,
Entamoeba hartmanni,NA,0,,0,3,0,1,,VR,42716,,,,,Entamoeba hartmanni      ,4410,Entamoeba hartmanni      ,42,,"Verweij et al., 2001",Gideon,VR,42716,,,,NA,0,1,No,,,,Entamoeba hartmanni,1,1,0,0,Entamoeba hartmannii,yes,valid name in NCBI,,NCBI 110767,,Protozoa,Sarcomastigophora,Lobosea,Amoebida,Endamoebidae,
Entamoeba polecki,NA,0,,0,2,0,2,,VR,42716,,,,,Entamoeba polecki      ,4020,Entamoeba polecki      ,44,pig/monkey food,"Park et al., 2004",,VR,42716,,,,NA,0,1,No,,,,Entamoeba polecki,1,1,0,0,Entamoeba polecki,yes,valid name in NCBI,,NCBI 110769,,Protozoa,Sarcomastigophora,Lobosea,Amoebida,Endamoebidae,
Entopolypoides macaci,NA,0,,,,-1,3,,VR,42713,,,,,Entopolypoides macaci      ,56,Entopolypoides macaci      ,8,,"Bronsdon et al., 1999",,VR,42713,,,,NA,0,1,No,,,,Entopolypoides macaci,0,0,1,0,Entopolypoides macaci,yes,valid in papers,,"Akinyi, M. Y., Tung, J., Jeneby, M., Patel, N. B., Altmann, J., & Alberts, S. C. ","Akinyi, M. Y., Tung, J., Jeneby, M., Patel, N. B., Altmann, J., & Alberts, S. C. (2013). Role of grooming in reducing tick load in wild baboons (Papio cynocephalus).ÿAnimal behaviour,ÿ85(3), 559-568.",Protozoa,Apicomplexa,Aconoidasida,Achromatorida,Babesiidae,
Giardia intestinalis,NA,0,,0,2,0,1,,VR,42710,,,,,Giardia intestinalis      ,29900,Giardia intestinalis      ,1265,"food,water,fecal,oral,fly",Ali and Hill 2003,Gideon,VR,42710,,,,NA,0,1,No,,,,Giardia intestinalis,1,1,0,0,Giardia Lamblia,yes,valid name and synonym from NCBI,,NCBI 5741,,Protozoa,Sarcomastigophora,Zoomastigophora,Diplomonadida,Hexamitidae,
Hepatocystis cercopitheci,NA,0,,,,-1,3,,VR,42709,,,,,Hepatocystis cercopitheci      ,11,Hepatocystis cercopitheci      ,0,,"Thurber et al., 2013",,VR,42709,,,,NA,0,1,No,,,,Hepatocystis cercopitheci,0,0,1,0,Hepatocystis cercopitheci,yes,valid in papers,,"Thurber, M. I., Ghai, R. R., Hyeroba, D., Weny, G., Tumukunde, A., Chapman, C. A., ... & Friedrich, T. C. ","Thurber, M. I., Ghai, R. R., Hyeroba, D., Weny, G., Tumukunde, A., Chapman, C. A., ... & Friedrich, T. C. (2013). Co-infection and cross-species transmission of divergent Hepatocystis lineages in a wild African primate community.ÿInternational journal for parasitology,ÿ43(8), 613-619.",Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Hepatocystis foleyi,NA,0,,,,-1,3,,VR,42709,,,,,Hepatocystis foleyi      ,12,Hepatocystis foleyi      ,0,,"Di Fiore et al., 2008",,VR,42709,,,,NA,0,1,No,,,,Hepatocystis foleyi,0,0,1,0,Plasmodium foleyi,yes,"found in Garnham 1966, source for Coatney et al 1971",,Coatney et al. 1971,"Coatney, G. R., W. E. Collins, and W. McWilson. 1971. The primate malarias. Bethesda, National insitiute of allergy and infectious diseases.",Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Hepatocystis kochi,NA,0,,,,-1,3,,VR,42709,,,,,Hepatocystis kochi      ,272,Hepatocystis kochi      ,2,,NEED,,VR,42709,,,,NA,0,1,No,,,,Hepatocystis kochi,0,0,1,0,Hepatocystes kochi,yes,valid in papers,,"Jeneby, M. ","Jeneby, M. (2011). Haemoprotozoan Parasites of Non-Human Primates in Kenya: Studies on Prevalence and Characterization of Haemoprotozoan Parasites of Wild-Caught Baboons, African Green Monkeys and Syke's Monkeys.",Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
Hepatocystis semnopitheci,NA,0,,,,-1,3,,VR,42709,,,,,Hepatocystis semnopitheci      ,45,Hepatocystis semnopitheci      ,0,,NEED,,VR,42709,,,,NA,0,1,No,,,,Hepatocystis semnopitheci,0,0,1,0,Hepatocystis semnopitheci,yes,few papers likely in GMPD,,NA,"Eyles, D. E., Laing, A. B. G., & Dobrovolny, C. G. (1962). The malaria parasites of the pig-tailed macaque, Macaca nemestrina nemestrina (Linnaeus), in Malaya.ÿIndian Journal of Malariology,ÿ16(3), 285-98.",Protozoa,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,
